station,n_calib,mae_model,mae_baseline,mae_seasonal,best_fallback,fallback_mae,use_fallback,calib_margin_to_fallback
22837,365,1.1155308777660335,1.1884931506849314,1.1455048946983184,seasonal,1.1455048946983184,0,-0.029974016932284853
29838,365,1.4670680620173655,1.5197260273972604,1.4989522606626378,seasonal,1.4989522606626378,0,-0.031884198645272255
37235,365,0.5759374579093227,0.8843835616438357,0.6097914324893179,seasonal,0.6097914324893179,0,-0.03385397457999517
35121,365,0.9525793244476647,0.9882191780821917,0.9901080665677654,baseline,0.9882191780821917,0,-0.03563985363452704
25563,365,2.2789591053708724,2.4104109589041096,2.319902426278139,seasonal,2.319902426278139,0,-0.04094332090726649
28900,365,0.5707408855984318,0.6528767123287671,0.6203990746488495,seasonal,0.6203990746488495,0,-0.049658189050417634
28440,365,0.7858545563579218,0.8567123287671234,0.8971392005419266,baseline,0.8567123287671234,0,-0.07085777240920166
34139,179,1.089800137543645,1.2016759776536314,1.2580366528911426,baseline,1.2016759776536314,0,-0.11187584010998641
22113,365,0.7294804483234295,1.258082191780822,1.0474702579827098,seasonal,1.0474702579827098,0,-0.31798980965928025
25913,365,1.3138820445751898,2.946849315068493,2.2498978507558545,seasonal,2.2498978507558545,0,-0.9360158061806647
